datetime,value
2026-01-01,67774.7961111111
2026-01-02,69998.29485833333
2026-01-03,68212.226375
2026-01-04,67336.21119583333
2026-01-05,67532.68400000001
2026-01-06,69450.83858333333
2026-01-07,70063.61369583332
2026-01-08,68551.09507916667
2026-01-09,68735.42934583333
2026-01-10,68816.963725
2026-01-11,67676.47349583333
2026-01-12,69905.57292499999
2026-01-13,68880.04079166666
2026-01-14,67610.64632083333
2026-01-15,67778.31722916667
2026-01-16,69017.6352625
2026-01-17,68143.48710833333
2026-01-18,68244.16391666666
2026-01-19,67180.47712916667
2026-01-20,67160.35429999999
2026-01-21,68571.33590416666
2026-01-22,67338.642725
2026-01-23,67670.52809166667
2026-01-24,64394.556529166664
2026-01-25,64951.79295416666
2026-01-26,67414.5891375
2026-01-27,65515.97344583334
2026-01-28,68681.7049375
2026-01-29,67621.51328333333
2026-01-30,69242.57579166666
2026-01-31,65018.594675
2026-02-01,66227.77524166666
2026-02-02,68782.187625
2026-02-03,70475.70516666667
2026-02-04,70197.45364166667
2026-02-05,69054.76058749999
2026-02-06,68771.87741249999
2026-02-07,66676.63885416667
2026-02-08,67356.68271666666
2026-02-09,67242.43077083334
2026-02-10,67281.62375416665
2026-02-11,66930.67466666666
2026-02-12,67698.068525
2026-02-13,69429.38582083333
2026-02-14,65161.86469583333
2026-02-15,66158.70962499999
2026-02-16,63099.45022083333
2026-02-17,65722.03045416666
2026-02-18,64950.35742083332
2026-02-19,66940.59464166666
2026-02-20,64747.17512083332
2026-02-21,62288.12921666667
2026-02-22,63206.04153333333
2026-02-23,63717.74909166667
2026-02-24,64356.728091666664
2026-02-25,65055.652525
2026-02-26,64297.95187083333
2026-02-27,65881.068225
2026-02-28,60777.0567125
2026-03-01,60009.27620416667
2026-03-02,59862.5420875
2026-03-03,61608.097337499996
2026-03-04,62206.14487499999
2026-03-05,60993.362695833326
2026-03-06,63657.25705833333
2026-03-07,58498.82434166667
2026-03-08,59943.0014
2026-03-09,59713.77437499999
2026-03-10,58838.59537083333
2026-03-11,57865.496537499996
2026-03-12,60190.39351666666
2026-03-13,57885.68647083332
2026-03-14,55093.50786666667
2026-03-15,55580.9807
2026-03-16,56480.8066
2026-03-17,57356.95938333333
2026-03-18,57148.7363875
2026-03-19,56456.332116666665
2026-03-20,57360.97688333332
2026-03-21,57782.9995
2026-03-22,56042.071975
2026-03-23,57602.211574999994
2026-03-24,57742.140166666664
2026-03-25,57634.24060416666
2026-03-26,58714.72449583334
2026-03-27,57335.167787499995
2026-03-28,56471.8946
2026-03-29,56956.63816666666
2026-03-30,57248.58552083333
2026-03-31,57306.512075
2026-04-01,62492.36928
